timestamp_ms,pressure_pa,temp_c,altitude_m,servo_state,event,time_s
timestamp_ms,pressure_pa,temp_c,altitude_m,servo_state,event,time_s
0,83300.0,28.2,0.0,0,flight,0.0
46,83300.0,28.2,0.0,0,flight,0.05
93,83300.0,28.2,0.0,0,flight,0.09
140,83300.0,28.2,0.0,0,flight,0.14
187,83300.0,28.2,0.0,0,flight,0.19
234,83300.0,28.2,0.0,0,flight,0.23
281,83300.0,28.2,0.0,0,flight,0.28
328,83300.0,28.2,0.0,0,flight,0.33
375,83300.0,28.2,0.0,0,flight,0.38
422,83300.0,28.2,0.0,0,flight,0.42
469,83300.0,28.2,0.0,0,flight,0.47
516,83300.0,28.2,0.0,0,flight,0.52
563,83300.0,28.2,0.0,0,flight,0.56
610,83300.0,28.2,0.0,0,flight,0.61
656,83300.0,28.2,0.0,0,flight,0.66
703,83300.0,28.2,0.0,0,flight,0.7
750,83300.0,28.2,0.0,0,flight,0.75
797,83300.0,28.2,0.0,0,flight,0.8
844,83300.0,28.2,0.0,0,flight,0.84
891,83300.0,28.2,0.0,0,flight,0.89
938,83300.0,28.2,0.0,0,flight,0.94
985,83300.0,28.2,0.0,0,flight,0.99
1032,83300.0,28.2,0.0,0,flight,1.03
1079,83300.0,28.2,0.0,0,flight,1.08
1126,83300.0,28.2,0.0,0,flight,1.13
1173,83300.0,28.2,0.0,0,flight,1.17
1220,83300.0,28.2,0.0,0,flight,1.22
1267,83300.0,28.2,0.0,0,flight,1.27
1313,83300.0,28.2,0.0,0,flight,1.31
1360,83300.0,28.2,0.0,0,flight,1.36
1407,83300.0,28.2,0.0,0,flight,1.41
1454,83300.0,28.2,0.0,0,flight,1.45
1501,83300.0,28.2,0.0,0,flight,1.5
1548,83300.0,28.2,0.0,0,flight,1.55
1595,83300.0,28.2,0.0,0,flight,1.6
1642,83300.0,28.2,0.0,0,flight,1.64
1689,83300.0,28.2,0.0,0,flight,1.69
1736,83300.0,28.2,0.0,0,flight,1.74
1783,83300.0,28.2,0.0,0,flight,1.78
1830,83300.0,28.2,0.0,0,flight,1.83
1877,83300.0,28.2,0.0,0,flight,1.88
1924,83296.64,28.18,0.28,0,flight,1.92
1970,83286.5,28.13,1.13,0,flight,1.97
2017,83276.56,28.08,1.95,0,flight,2.02
2064,83266.83,28.03,2.76,0,flight,2.06
2111,83257.32,27.99,3.56,0,flight,2.11
2158,83248.02,27.94,4.33,0,flight,2.16
2205,83238.93,27.89,5.09,0,flight,2.21
2252,83230.05,27.85,5.83,0,flight,2.25
2299,83221.38,27.81,6.55,0,flight,2.3
2346,83212.93,27.76,7.26,0,flight,2.35
2393,83204.68,27.72,7.94,0,flight,2.39
2440,83196.65,27.68,8.61,0,flight,2.44
2487,83188.82,27.64,9.26,0,flight,2.49
2534,83181.21,27.61,9.9,0,flight,2.53
2581,83173.81,27.57,10.52,0,flight,2.58
2627,83166.63,27.53,11.11,0,flight,2.63
2674,83159.65,27.5,11.7,0,flight,2.67
