timestamp_ms,pressure_pa,temp_c,altitude_m,servo_state,event,time_s
2721,83152.89,27.46,12.26,0,flight,2.72
2768,83146.33,27.43,12.81,0,flight,2.77
2815,83139.99,27.4,13.33,0,flight,2.82
2862,83133.86,27.37,13.85,0,flight,2.86
2909,83127.94,27.34,14.34,0,flight,2.91
2956,83122.23,27.31,14.81,0,flight,2.96
3003,83116.73,27.28,15.27,0,flight,3.0
3050,83111.45,27.26,15.71,0,flight,3.05
3097,83106.38,27.23,16.14,0,flight,3.1
3144,83101.51,27.21,16.54,0,flight,3.14
3191,83096.86,27.18,16.93,0,flight,3.19
3237,83092.42,27.16,17.3,0,flight,3.24
3284,83088.19,27.14,17.65,0,flight,3.28
3331,83084.18,27.12,17.99,0,flight,3.33
3378,83080.37,27.1,18.3,0,flight,3.38
3425,83076.78,27.08,18.6,0,flight,3.43
3472,83073.4,27.07,18.88,0,flight,3.47
3519,83070.22,27.05,19.15,0,flight,3.52
3566,83067.26,27.04,19.39,0,flight,3.57
3613,83064.52,27.02,19.62,0,flight,3.61
3660,83061.98,27.01,19.84,0,flight,3.66
3707,83059.65,27.0,20.03,0,flight,3.71
3754,83057.54,26.99,20.21,0,flight,3.75
3801,83055.64,26.98,20.36,0,flight,3.8
3848,83053.95,26.97,20.5,0,flight,3.85
3894,83052.47,26.96,20.63,0,flight,3.89
3941,83051.2,26.96,20.73,0,flight,3.94
3988,83050.14,26.95,20.82,0,flight,3.99
4035,83049.29,26.95,20.89,0,flight,4.04
4082,83048.66,26.94,20.94,0,flight,4.08
4129,83048.24,26.94,20.98,0,flight,4.13
4176,83048.03,26.94,21.0,0,flight,4.18
4223,83048.03,26.94,21.0,0,flight,4.22
4270,83048.24,26.94,20.98,0,flight,4.27
4317,83048.66,26.94,20.94,0,flight,4.32
4364,83049.29,26.95,20.89,0,flight,4.36
4411,83050.14,26.95,20.82,0,flight,4.41
4458,83051.2,26.96,20.73,0,flight,4.46
4505,83052.47,26.96,20.63,0,flight,4.51
4551,83053.95,26.97,20.5,0,flight,4.55
4598,83055.64,26.98,20.36,0,flight,4.6
4645,83057.54,26.99,20.21,0,flight,4.65
4692,83059.65,27.0,20.03,0,flight,4.69
4739,83061.98,27.01,19.84,0,flight,4.74
4786,83064.52,27.02,19.62,0,flight,4.79
4833,83067.26,27.04,19.39,0,flight,4.83
4880,83070.22,27.05,19.15,0,flight,4.88
4927,83073.4,27.07,18.88,0,flight,4.93
4974,83076.78,27.08,18.6,0,flight,4.97
5021,83080.37,27.1,18.3,0,flight,5.02
5068,83084.18,27.12,17.99,0,flight,5.07
5115,83088.19,27.14,17.65,0,flight,5.12
5162,83092.42,27.16,17.3,0,flight,5.16
5208,83096.86,27.18,16.93,0,flight,5.21
5255,83101.51,27.21,16.54,0,flight,5.26
5302,83106.38,27.23,16.14,0,flight,5.3
5349,83111.45,27.26,15.71,0,flight,5.35
5396,83116.73,27.28,15.27,0,flight,5.4
5443,83122.23,27.31,14.81,0,flight,5.44
5490,83127.94,27.34,14.34,0,flight,5.49
5537,83133.86,27.37,13.85,0,flight,5.54
5584,83139.99,27.4,13.33,0,flight,5.58
5631,83146.33,27.43,12.81,0,flight,5.63
5678,83152.89,27.46,12.26,0,flight,5.68
5725,83159.65,27.5,11.7,0,flight,5.73
5772,83166.63,27.53,11.11,0,flight,5.77
5818,83173.81,27.57,10.52,0,flight,5.82
5865,83181.21,27.61,9.9,0,flight,5.87
5912,83188.82,27.64,9.26,0,flight,5.91
5959,83196.65,27.68,8.61,0,flight,5.96
6006,83204.68,27.72,7.94,0,flight,6.01
6053,83212.93,27.76,7.26,0,flight,6.05
6100,83221.38,27.81,6.55,0,flight,6.1
6147,83230.05,27.85,5.83,0,flight,6.15
6194,83238.93,27.89,5.09,0,flight,6.19
6241,83248.02,27.94,4.33,0,flight,6.24
6288,83257.32,27.99,3.56,0,flight,6.29
6335,83266.83,28.03,2.76,0,flight,6.34
6382,83276.56,28.08,1.95,0,flight,6.38
6429,83286.5,28.13,1.13,0,flight,6.43
6475,83296.64,28.18,0.28,0,flight,6.48
6522,83300.0,28.2,0.0,0,flight,6.52
6569,83300.0,28.2,0.0,0,flight,6.57
6616,83300.0,28.2,0.0,0,flight,6.62
6663,83300.0,28.2,0.0,0,flight,6.66
6710,83300.0,28.2,0.0,0,flight,6.71
6757,83300.0,28.2,0.0,0,flight,6.76
6804,83300.0,28.2,0.0,0,flight,6.8
6851,83300.0,28.2,0.0,0,flight,6.85
6898,83300.0,28.2,0.0,0,flight,6.9
6945,83300.0,28.2,0.0,0,flight,6.95
6992,83300.0,28.2,0.0,0,flight,6.99
7039,83300.0,28.2,0.0,0,flight,7.04
7086,83300.0,28.2,0.0,0,flight,7.09
7132,83300.0,28.2,0.0,0,flight,7.13
7179,83300.0,28.2,0.0,0,flight,7.18
7226,83300.0,28.2,0.0,0,flight,7.23
7273,83300.0,28.2,0.0,0,flight,7.27
7320,83300.0,28.2,0.0,0,flight,7.32
7367,83300.0,28.2,0.0,0,flight,7.37
7414,83300.0,28.2,0.0,0,flight,7.41
7461,83300.0,28.2,0.0,0,flight,7.46
7508,83300.0,28.2,0.0,0,flight,7.51
7555,83300.0,28.2,0.0,0,flight,7.56
7602,83300.0,28.2,0.0,0,flight,7.6
7649,83300.0,28.2,0.0,0,flight,7.65
7696,83300.0,28.2,0.0,0,flight,7.7
7743,83300.0,28.2,0.0,0,flight,7.74
7789,83300.0,28.2,0.0,0,flight,7.79
7836,83300.0,28.2,0.0,0,flight,7.84
7883,83300.0,28.2,0.0,0,flight,7.88
7930,83300.0,28.2,0.0,0,flight,7.93
7977,83300.0,28.2,0.0,0,flight,7.98
8024,83300.0,28.2,0.0,0,flight,8.02
8071,83300.0,28.2,0.0,0,flight,8.07
8118,83300.0,28.2,0.0,0,flight,8.12
8165,83300.0,28.2,0.0,0,flight,8.17
8212,83300.0,28.2,0.0,0,flight,8.21
8259,83300.0,28.2,0.0,0,flight,8.26
8306,83300.0,28.2,0.0,0,flight,8.31
8353,83300.0,28.2,0.0,0,flight,8.35
8400,83300.0,28.2,0.0,0,flight,8.4
